version,order,chapter,text,duration_hint,visual_id,fact_ids,emphasis
v1,47,cost,"他接受了静脉输液。",2.4,cost-treatment,D010,high
v1,48,cost,"并继续接受治疗。",2.5,cost-treatment,D010,medium
v1,49,cost,"能确认的事实，是抽筋、输液和继续治疗。",2.8,cost-factframe,D010,high
v1,50,cost,"代价没有让回合更伟大，只让它更真实。",2.8,cost-silence,,high
v1,51,legacy,"二零一六年，他是骑士冠军阵容的一员。",2.8,legacy-ring,D011,high
v1,52,legacy,"那支球队完成了一比三落后的逆转。",3.0,legacy-comeback,D017,high
v1,53,legacy,"冠军不属于一个人，但他的名字属于那份名单。",2.9,legacy-roster,"D011;D017",medium
v1,54,legacy,"同年，他通过先签后换来到密尔沃基雄鹿。",2.8,legacy-bucks,D018,medium
v1,55,legacy,"后来，他又回到了骑士。",2.3,legacy-return,D012,medium
v1,56,legacy,"他的生涯，没有停在一轮总决赛里。",2.8,legacy-route,"D012;D013",medium
v1,57,legacy,"他代表澳大利亚参加过四届奥运会。",3.0,legacy-boomers,D013,high
v1,58,last_possession,"东京铜牌战，澳大利亚一百零七比九十三获胜，拿到首枚奥运男篮铜牌。",3.8,last-bronze,D014,high
v1,59,last_possession,"二零二五年，他与悉尼国王签下三年合同。",3.0,last-sydney,D015,medium
v1,60,last_possession,"二零二六年，他随队拿到NBL冠军。",2.6,last-nbl-title,D019,high
v1,61,last_possession,"截至二零二六年七月，他仍在悉尼国王队。",2.8,last-current,D016,medium
v1,62,last_possession,"统计表会合上，而那条路线仍伸向下一回合。",3.3,last-line,D016,high
